Date,0050.TW,00632R.TW,00679B.TW,2303.TW,2308.TW,2317.TW,2330.TW,2376.TW,2377.TW,2382.TW,2454.TW,3711.TW,TSM,TWD=X,^GSPC,^NDX,^SOX,^TNX,^VIX
2017-04-12,7760588.0,28022000.0,,27827000.0,2774000.0,32064800.0,17283000.0,2025000.0,10565000.0,6316000.0,4489000.0,4274000.0,6136500.0,0.0,3201300000.0,1666570000.0,0.0,0.0,0.0
2017-04-13,24018700.0,21774000.0,,22528000.0,2302000.0,49123200.0,14771000.0,1630000.0,7325000.0,4314000.0,3610000.0,3017500.0,8781700.0,0.0,3146380000.0,1587150000.0,0.0,0.0,0.0
2017-04-14,10697120.0,100292000.0,,19444000.0,860000.0,28532000.0,30701000.0,2149000.0,5228000.0,2197000.0,2310000.0,2816000.0,8781700.0,0.0,3146380000.0,1587150000.0,0.0,0.0,0.0
2017-04-17,21357960.0,61702000.0,,16921000.0,902000.0,22817600.0,17096000.0,2118000.0,3400000.0,1934000.0,2315000.0,1840500.0,6918900.0,0.0,2826890000.0,1383550000.0,0.0,0.0,0.0
2017-04-18,16399696.0,20185000.0,,38341000.0,1046000.0,12048800.0,25063000.0,1558000.0,3460000.0,6823000.0,3701000.0,3468500.0,5468600.0,0.0,3272210000.0,1610230000.0,0.0,0.0,0.0
2017-04-19,36741784.0,84644000.0,,29668000.0,2981000.0,24576000.0,30477000.0,2095000.0,10499000.0,6520000.0,5889000.0,6427500.0,4739200.0,0.0,3521160000.0,1754240000.0,0.0,0.0,0.0
2017-04-20,12569024.0,44720000.0,,23771000.0,2565000.0,20187200.0,21488000.0,1257000.0,7486000.0,3708000.0,3633000.0,4086500.0,4237700.0,0.0,3648990000.0,1751490000.0,0.0,0.0,0.0
2017-04-21,12988852.0,42214000.0,,23867000.0,1770000.0,11651200.0,17373000.0,1481000.0,3848000.0,2290000.0,2407000.0,4264000.0,4530400.0,0.0,3524160000.0,1736420000.0,0.0,0.0,0.0
2017-04-24,17237856.0,27628000.0,,18802000.0,2779000.0,12256000.0,19317000.0,4018000.0,2523000.0,2356000.0,1672000.0,2069000.0,5717000.0,0.0,3711170000.0,1842880000.0,0.0,0.0,0.0
2017-04-25,22792244.0,47435000.0,,24341000.0,5027000.0,27880800.0,31932000.0,5324000.0,4009000.0,6208000.0,4827000.0,4776500.0,5614300.0,0.0,4005820000.0,1898120000.0,0.0,0.0,0.0
