target,period,period_start,period_end,event,n,raw_gap_h1,resid_gap_h1,resid_hit_h1,resid_abs_lift_h1,event_resid_mean_h1,nonevent_resid_mean_h1,raw_gap_h2,resid_gap_h2,resid_hit_h2,resid_abs_lift_h2,event_resid_mean_h2,nonevent_resid_mean_h2,raw_gap_h3,resid_gap_h3,resid_hit_h3,resid_abs_lift_h3,event_resid_mean_h3,nonevent_resid_mean_h3,period_residual_influence_score
2382.TW,2020-09-30,2020-07-01,2020-09-30,volume_spike,5,0.00027282393069515435,-0.00012302777177955481,0.4,0.005813268186371028,5.13393593701731e-05,0.0001743671311497279,0.0008569316047231023,-0.0020157166054751235,0.4,-0.005266203210179704,-0.0015758212041532406,0.0004398954013218827,0.0027278467346348208,0.0007608475570871013,0.6,-0.012144089106036319,0.0010613655227510327,0.0003005179656639313,0.3114584622765237
2303.TW,2019-06-30,2019-04-01,2019-06-28,deal_heavy,11,-0.0020501724991597034,-0.0005521227003297097,0.6363636363636364,-0.0016827133341011796,0.001720793340495344,0.0022729160408250537,-0.002320228172724071,-0.00013486842649437954,0.5454545454545454,-0.004799839110758496,0.004125227332734101,0.004260095759228481,-0.007242349923600533,-0.004705359073215996,0.6363636363636364,4.0363174536386937e-05,0.0021050972542743015,0.006810456327490297,0.3113273988020953
2330.TW,2023-09-30,2023-07-03,2023-09-29,attack_heavy,27,0.006094941570207453,0.00043952351729881114,0.4444444444444444,-0.0008373559104556992,-0.0006283003733136343,-0.0010678238906124454,0.006140453764048127,0.00023283791993794403,0.37037037037037035,-0.0014966886530828234,-0.0033273840422115763,-0.0035602219621495203,0.0026425397812729523,-0.0034064698501585925,0.25925925925925924,-0.00352340398973992,-0.00808030743238599,-0.0046738375822273975,0.31125839665690563
2317.TW,2022-09-30,2022-07-01,2022-09-30,has_night_post,37,0.0001233677583765039,-0.0009344304617581047,0.4594594594594595,-0.0020002002552154657,-6.935684305098508e-05,0.0008650736187071197,-0.002652323623102291,-0.004307012744498225,0.43243243243243246,0.00199437437381725,-0.0018081320870194917,0.0024988806574787335,0.001935128219139267,0.0002571416923028033,0.4864864864864865,0.0010672294026487714,8.02151296418609e-05,-0.0001769265626609424,0.31122929503087576
2317.TW,2022-09-30,2022-07-01,2022-09-30,short_posts,11,-0.004593773368715012,-0.002190989781773218,0.45454545454545453,-0.0016301302554216773,-0.001484598579513742,0.0007063912022594762,-0.00012800657920217988,0.0029282613077566944,0.6363636363636364,0.0004662776568747258,0.0025245609662693973,-0.00040370034148729694,-0.003583111726207662,-5.4675913995349594e-05,0.36363636363636365,-0.0054175010868199695,-7.833463318428339e-05,-2.36587191889338e-05,0.3111452002905735
0050.TW,2019-12-31,2019-10-01,2019-12-31,has_market_brag,23,0.00273381303717908,0.0019509102117991164,0.4782608695652174,-9.17828205166454e-05,0.0019019175280521792,-4.899268374693718e-05,0.0002569577611913664,-0.0006323027873642835,0.5652173913043478,0.004075662138894007,0.0014340677664452456,0.002066370553809529,-0.0019153763453224398,-0.0025687891028395586,0.4782608695652174,0.00020791817280503902,0.0014848973388560719,0.0040536864416956305,0.31113883095653316
2317.TW,2023-12-31,2023-10-02,2023-12-29,has_russia,15,-0.004002712791913944,-0.0032129263292958498,0.26666666666666666,-0.0005005726781367563,-0.0038583077187971104,-0.0006453813895012607,-0.0013296188181301381,-0.00027185215566055405,0.4666666666666667,0.0008370160472916718,-0.0021663480146392896,-0.0018944958589787355,0.0005755829895402087,0.0012169218036289548,0.4666666666666667,0.0007434712805443403,-0.0013688976700122067,-0.0025858194736411615,0.3107906856391766
0050.TW,2017-12-31,2017-10-02,2017-12-29,has_iran,5,0.0011350771734700172,0.0009793309789760775,0.6,-0.00183655832157276,0.0001694371332023545,-0.0008098938457737231,0.0011771894115371216,0.0009642645774133314,0.4,-0.002539461118637304,-0.00047401532722583,-0.0014382799046391613,0.004304025307330075,0.003841633728764568,0.4,-0.0017236221150887,0.001653035665154973,-0.002188598063609595,0.3107585708640797
2303.TW,2023-12-31,2023-10-02,2023-12-29,deal_only,18,0.003138019519503231,0.0023751872852097533,0.5,-0.003259703429002509,0.0016654639081795115,-0.000709723377030242,0.0024944438533716262,0.0012402694095357285,0.5,-0.0002309309795744119,0.0017046728720607864,0.0004644034625250579,0.005046141567380107,0.0037113089992484006,0.6111111111111112,-0.0027400413957435338,0.004358271811117006,0.0006469628118686058,0.31070694996183085
0050.TW,2020-06-30,2020-04-01,2020-06-30,attack_heavy,20,0.0010101410507592358,9.102015728497479e-05,0.45,0.001256423276633267,0.0010842015631958761,0.0009931814059109013,-0.000877858690107155,-0.002058429020249578,0.6,0.0013662742091687958,0.0016827066140129368,0.003741135634262515,-0.0011824839177439154,-0.0029325351901893205,0.55,-0.002347930105063718,0.0033465698646834656,0.006279105054872786,0.3102229947313977
2382.TW,2018-09-30,2018-07-02,2018-09-28,has_market_brag,5,0.0016925526698066498,0.0005775722391106141,0.6,-0.003371968133583727,0.0005307617702700069,-4.681046884060719e-05,0.0025522449902685277,0.001877192990728736,0.6,-0.0035933157604330947,0.0015206338096857962,-0.0003565591810429398,0.0037680760612142394,0.003313366068073572,0.6,-0.0028749897166336323,0.003123750798416523,-0.00018961526965704904,0.31018863795604457
2377.TW,2017-06-30,2017-04-03,2017-06-30,has_night_post,10,-0.005757156913452058,-0.005437301017571228,0.4,-0.0035509256297526926,-0.004916401255970549,0.0005208997616006782,-0.00045398840644164185,2.8834840591477327e-05,0.4,-0.007577925757110972,-0.0007137635691253863,-0.0007425984097168636,-0.0019880127951129828,-0.0011169792494201336,0.5,-0.012558463216672497,-0.001806507079149211,-0.0006895278297290774,0.3100827896474116
2317.TW,2017-12-31,2017-10-02,2017-12-29,has_attack,26,0.00039080100354668907,0.0015486633481891499,0.46153846153846156,-0.0036187576132058275,-0.0013286237339463444,-0.0028772870821354942,-0.0035751817583227954,-0.002103392205942927,0.5384615384615384,-0.0007471555144363227,-0.0057435031375322404,-0.0036401109315893133,-0.004434026350170244,-0.002735480196424992,0.38461538461538464,-0.0002547792570287699,-0.0085386705064144,-0.005803190309989408,0.3099787911145097
2317.TW,2023-06-30,2023-04-03,2023-06-30,positive_heavy,28,0.00035033992153652186,0.0006137171320228145,0.4642857142857143,7.271586130072442e-05,0.000998945856592876,0.0003852287245700615,-0.0005243051378384773,0.00011064408073234357,0.5,0.00549521610316011,0.0015162308200319572,0.0014055867392996136,-0.0013824370663414595,-0.0012817389164711153,0.5,0.006240271880607363,0.0015539342619241146,0.00283567317839523,0.30925112192997234
2382.TW,2022-12-31,2022-10-03,2022-12-30,short_posts,15,0.0008920628912976306,0.0022802421243672912,0.5333333333333333,-0.0016319209648237376,0.00011437142739276883,-0.0021658706969745222,-0.0018780611058052512,-0.0007032449716489453,0.3333333333333333,-0.0037714283549178055,-0.004339860987441395,-0.00363661601579245,0.0016895347177288082,0.0024612789956109864,0.4,-0.006521964321455366,-0.003761311471848015,-0.006222590467459001,0.30921809027663855
